%FE,emulsion_temp,emulsion_pr,rod_quench_cw_exit,casting_wheel_rpm,rod_quench_cw_entry,rm_motor_cooling_water_pressure ,rolling_mill_amp,cool_water_flow,cooling_water_pressure,cooling_water_temp,rolling_mill_rpm,Grade_encoded,UTS,elongation,Conductivity,Grade
0.13,60.35223389,2.160778046,6.443695856,2.107818604,338.8796366,1.690364838,287.6733398,123.546936,4.124486625522122,38.268010138386245,917.519690329599,2,9.8,13.2,61.8,WE10
0.13,60.39179993,2.168144226,6.483178001,2.104998827,338.1777318,1.679897308,336.8676758,123.5864868,4.1528469618669765,35.34643798267204,848.2129223116531,2,9.6,13.6,61.8,WE10
0.13,60.4193573,2.172576904,6.557119603,2.106207371,336.3690554,1.704027176,316.5844727,123.5119629,4.0180645761353535,40.269270778926895,838.4933482014039,2,9.7,15.9,61.6,WE10
0.13,60.4193573,2.172576904,6.557119603,2.106207371,336.3690554,1.704027176,316.5844727,123.5119629,4.092040041110423,38.11975562283554,814.9336608274427,2,9.5,16.0,61.5,WE10
0.13,60.46998596,2.16888237,6.449004647,2.106408596,340.2880238,1.689224243,333.3105469,123.5027466,3.861969115231346,38.488513975805645,768.3883324594617,2,9.5,14.0,61.8,WE10
0.13,60.38517761,2.136550903,6.45997191,2.1045959,337.4564992,1.685058594,299.7827148,123.5039673,4.45,39.73888081575348,804.8158177435186,2,9.7,12.4,61.8,WE10
0.13,60.417099,2.171360016,6.439118216,2.1045959,339.2107525,1.682476044,329.6777344,123.548584,4.30759036663868,36.639297924742806,857.6285470343834,2,9.5,16.8,61.5,WE10
0.13,60.417099,2.171360016,6.439118216,2.1045959,339.2107525,1.682476044,329.6777344,123.548584,3.737390875904397,34.10888431339127,804.9101738114387,2,10.4,12.4,61.8,WE10
0.13,60.4092865,2.120529175,6.478600361,2.107818604,341.2681474,1.686906815,332.0996094,123.4915161,4.45,36.75777663870245,814.3478129075588,2,9.1,16.4,61.5,WE10
0.13,60.4092865,2.120529175,6.478600361,2.107818604,341.2681474,1.686906815,332.0996094,123.4915161,4.444958968065584,39.48662115784053,730.4051441728726,2,8.9,16.4,61.5,WE10
0.13,60.37940979,2.148090363,6.455267113,1.88646245,340.6984855,1.702335358,375.2392578,123.524292,4.366012551654392,39.86360893640546,807.9754533546892,2,8.9,18.0,61.5,WE10
0.13,59.93920898,2.139907837,6.481429597,1.885656714,338.7987649,1.677257538,318.9306641,123.3143921,4.18245090898715,38.75599678615784,795.9784856856279,2,9.0,14.4,61.5,WE10
0.13,59.93920898,2.139907837,6.481429597,1.885656714,338.7987649,1.677257538,318.9306641,123.3143921,4.178565523108805,37.94052522816752,752.1178089332614,2,9.1,16.8,61.5,WE10
0.13,59.93920898,2.139907837,6.481429597,1.885656714,338.7987649,1.677257538,318.9306641,123.3143921,4.023872199983189,39.81927004254568,837.3919489374517,2,9.7,12.0,61.7,WE10
0.13,59.93920898,2.139907837,6.481429597,1.885656714,338.7987649,1.677257538,318.9306641,123.3143921,4.132567914415709,40.20961919920711,820.6074326732534,2,9.7,13.2,61.7,WE10
0.13,60.36082458,2.132278442,6.487596695,2.021209717,341.6531778,1.691638947,312.7246094,123.6642456,3.677095064278277,38.93716749426004,835.9161145642826,2,8.9,18.0,61.5,WE10
0.13,59.39518738,2.13955307,6.508704702,2.037927151,340.5250439,1.694080353,307.4267578,123.5999146,4.320788302703306,41.24923172260573,878.8903199408036,2,8.8,18.0,61.5,WE10
0.15,59.39538574,2.113325119,6.51830503,2.0153687,341.3902178,1.71124649,293.9550781,123.6728516,3.881465702629075,37.06404139428956,823.735255802735,2,9.9,16.0,61.7,WE10
